DEPOSIT_NA,CRITICAL_M,DEPOSIT_TY,LATITUDE,LONGITUDE,LOCATION,LOC_DETAIL,Symbol,Abundace,Symbol Key CM,Symbol Key S,Abundance Key S,Abunance Key P
Heling,Graphite,Amorphous Graphite,46.31453,129.55,China,,C,0.02,,,,
Jixi (Liu Mao),Graphite,Amorphous Graphite,45.28119,131,China,,C,0.02,,,,
Liu Mao,Graphite,Amorphous Graphite,45.29786,131.06667,China,,C,0.02,,,,
Honan Deposits,Graphite,Amorphous Graphite,32.49867,113.88269,China,,C,0.02,,,,
Hunan,Graphite,Amorphous Graphite,25.99915,112.99946,China,,C,0.02,,,,
Panshi,Graphite,Amorphous Graphite,42.93119,125.96667,China,,C,0.02,,,,
Hohot,Graphite,Crystalline Graphite,40.81489,111.61609,China,,C,0.02,,,,
Shandong Peninsula,Graphite,Crystalline Graphite,37.03174,120.31587,China,,C,0.02,,,,
Xing He,Graphite,Crystalline Graphite,40.883333,113.883333,China,,C,0.02,,,,
Cesky Krumlov,Graphite,Crystalline Graphite,48.79871,14.31884,Czech Republic,,C,0.02,,,,
Kolledeye,Graphite,Crystalline Graphite,49.2154,14.45215,Czech Republic,,C,0.02,,,,
Velke Vbrno-Konstantin Vvk,Graphite,Amorphous Graphite,50.13122,17.33333,Czech Republic,,C,0.02,,,,
East Godavari,Graphite,Crystalline Graphite,17.38317,81.85029,India,,C,0.02,,,,
Khammam,Graphite,Crystalline Graphite,17.38317,81.3336,India,,C,0.02,,,,
Srikakulam,Graphite,Crystalline Graphite,18.33308,83.10026,India,,C,0.02,,,,
Visakhapatnam,Graphite,Crystalline Graphite,18.01651,82.93356,India,,C,0.02,,,,
Khamdih,Graphite,Crystalline Graphite,23.96598,84.21694,India,,C,0.02,,,,
Sokra,Graphite,Crystalline Graphite,23.96598,84.13354,India,,C,0.02,,,,
Dandatapa Area,Graphite,Crystalline Graphite,20.79955,84.60022,India,,C,0.02,,,,
Sargipali Area,Graphite,Crystalline Graphite,20.89955,83.08356,India,,C,0.02,,,,
Titlagarh Area,Graphite,Crystalline Graphite,20.19961,83.36695,India,,C,0.02,,,,
Tumdibandh-Phulbani Area,Graphite,Crystalline Graphite,19.83294,83.63355,India,,C,0.02,,,,
Tamatia Mines,Graphite,Crystalline Graphite,23.61603,74.50049,India,,C,0.02,,,,
Madurai,Graphite,Crystalline Graphite,10.06728,77.83368,India,,C,0.02,,,,
Chawia,Graphite,Crystalline Graphite,-3.4648,38.38447,Kenya,,C,0.02,,,,
Oldoinyo-Nyiro,Graphite,Crystalline Graphite,0.74994,37,Kenya,,C,0.02,,,,
Yonghung-Kaechon area,Graphite,Amorphous Graphite,39.83165,127.43224,North Korea,,C,0.02,,,,
Songjin Deposits,Graphite,Crystalline Graphite,40.66503,129.19888,North Korea,,C,0.02,,,,
Wolmyong-Kaerim-Pongmyong,Graphite,Amorphous Graphite,36.41462,127.75,South Korea,,C,0.02,,,,
Yongwon-GunJa-Pyongtack-Shihung,Graphite,Crystalline Graphite,36.91461,127.66667,South Korea,,C,0.02,,,,
Ambatomitamba Sahanovo Area,Graphite,Crystalline Graphite,-18.34688,49.10105,Madagascar,,C,0.02,,,,
Perinet-Ambatovy-Area,Graphite,Crystalline Graphite,-18.93014,48.45106,Madagascar,,C,0.02,,,,
Telixtlahuaca,Graphite,Crystalline Graphite,17.32632,-96.86495,Mexico,,C,0.02,,,,
Las Trincheras,Graphite,Amorphous Graphite,30.39813,-111.53333,Mexico,,C,0.02,,,,
Lourdes area,Graphite,Amorphous Graphite,28.60023,-110.50065,Mexico,,C,0.02,,,,
Tonichi,Graphite,Amorphous Graphite,28.58153,-109.56667,Mexico,,C,0.02,,,,
Skaland-Senja,Graphite,Crystalline Graphite,69.44881,17.28729,Norway,,C,0.02,,,,
La Galgada-La Limena-San Carlos mines,Graphite,Amorphous Graphite,-8.46468,-78.1331,Peru,,C,0.02,,,,
Baia De Fier,Graphite,Amorphous Graphite,45.23119,23.75,Romania,,C,0.02,,,,
Botogolsk,Graphite,Crystalline Graphite,52.4646,100.75,Russia,,C,0.02,,,,
Boyarsk,Graphite,Crystalline Graphite,51.8478,106.09947,Russia,,C,0.02,,,,
Kureyka,Graphite,Amorphous Graphite,66.48177,87.16667,Russia,,C,0.02,,,,
Noginskoje,Graphite,Amorphous Graphite,64.49834,91.25,Russia,,C,0.02,,,,
Soyusnoye,Graphite,Crystalline Graphite,47.91454,130.93333,Russia,,C,0.02,,,,
Tayginsk,Graphite,Crystalline Graphite,55.63134,60.65,Russia,,C,0.02,,,,
Gumbu Graphite Mine,Graphite,Crystalline Graphite,-22.31516,30.66667,South Africa,,C,0.02,,,,
Malonga Graphite Mine,Graphite,Amorphous Graphite,-22.64848,30.88333,South Africa,,C,0.02,,,,
Kahatagaha-Kolongaha,Graphite,Crystalline Graphite,7.56753,80.53361,Sri Lanka,,C,0.02,,,,
Zaval'E,Graphite,Crystalline Graphite,48.19787,30.03333,Ukraine,,C,0.02,,,,
Christophosen Creek,Graphite,Crystalline Graphite,65.0254,-165.63222,United States of America,Alaska,C,0.02,,,,
Graphite Creek,Graphite,Crystalline Graphite,65.03929,-165.53833,United States of America,Alaska,C,0.02,,,,
Imuruk Basin Graphite,Graphite,Crystalline Graphite,65.03586,-165.5528,United States of America,Alaska,C,0.02,,,,
Kigluaik Mountains Graphite District,Graphite,Crystalline Graphite,65.04319,-165.54083,United States of America,Alaska,C,0.02,,,,
Southern California area,Graphite,Crystalline Graphite,34.6538,-118.4689,United States of America,California,C,0.02,,,,
Black Lady Nos. 1 and 2,Graphite,Crystalline Graphite,36.89874,-118.0744,United States of America,California,C,0.02,,,,
Eureka Plumbago-Morgan mines,Graphite,Crystalline Graphite,38.01769,-120.37989,United States of America,California,C,0.02,,,,
Skinner Ranch,Graphite,Crystalline Graphite,38.19042,-122.5919,United States of America,California,C,0.02,,,,
Unnamed,Graphite,Crystalline Graphite,36.278,-121.55518,United States of America,California,C,0.02,,,,
Unnamed Location,Graphite,Crystalline Graphite,41.21205,-123.76753,United States of America,California,C,0.02,,,,
Wedge,Graphite,Crystalline Graphite,32.80249,-115.97861,United States of America,California,C,0.02,,,,
Graphite Basin,Graphite,Crystalline Graphite,38.58981,-106.3778,United States of America,Colorado,C,0.02,,,,
Unnamed Graphite Deposit,Graphite,Crystalline Graphite,38.67361,-105.98059,United States of America,Colorado,C,0.02,,,,
Graphite Mines,Graphite,Crystalline Graphite,41.85537,-73.3678,United States of America,Connecticut,C,0.02,,,,
Lead Hill Mine Graphite Deposits,Graphite,Crystalline Graphite,41.93828,-72.1842,United States of America,Connecticut,C,0.02,,,,
Unnamed Graphite Mine,Graphite,Crystalline Graphite,34.11911,-84.7425,United States of America,Georgia,C,0.02,,,,
Detroit-Northern Graphite Quarries,Graphite,Amorphous Graphite,46.6347,-88.34724,United States of America,Michigan,C,0.02,,,,
Black Diamond Carbon Graphitic,Graphite,Crystalline Graphite,46.31646,-111.6336,United States of America,Montana,C,0.02,,,,
Crystal Graphite Mine,Graphite,Crystalline Graphite,45.10268,-112.50587,United States of America,Montana,C,0.02,,,,
Boston-Goshen-Osgood Mines area,Graphite,Crystalline Graphite,43.27346,-72.0986,United States of America,New Hampshire,C,0.02,,,,
Stone Mills Graphite Mine,Graphite,Crystalline Graphite,40.68121,-74.87722,United States of America,New Jersey,C,0.02,,,,
Adirondack Mining & Milling Mine,Graphite,Crystalline Graphite,43.55828,-73.45533,United States of America,New York,C,0.02,,,,
Essex-Warren area,Graphite,Crystalline Graphite,43.89896,-73.4694,United States of America,New York,C,0.02,,,,
Champlain Graphite Mine,Graphite,Crystalline Graphite,43.53778,-73.48093,United States of America,New York,C,0.02,,,,
M. B. Hooper Graphite Mine,Graphite,Crystalline Graphite,43.55346,-73.4983,United States of America,New York,C,0.02,,,,
Pope Mills-Rossie Deposits,Graphite,Crystalline Graphite,44.47078,-75.5546,United States of America,New York,C,0.02,,,,
Rowland Graphite Mine area,Graphite,Crystalline Graphite,43.60388,-73.97175,United States of America,New York,C,0.02,,,,
Silver Leaf Graphite Co.Mine,Graphite,Crystalline Graphite,43.59146,-73.4331,United States of America,New York,C,0.02,,,,
Dillinger Mine & Mill,Graphite,Crystalline Graphite,35.89857,-82.1814,United States of America,North Carolina,C,0.02,,,,
Cranston-Penners Ledge Mines,Graphite,Amorphous Graphite,41.76617,-71.4583,United States of America,Rhode Island,C,0.02,,,,
Copper Cliff Mine,Graphite,Crystalline Graphite,44.12135,-103.8353,United States of America,South Dakota,C,0.02,,,,
Burnet-Llano District,Graphite,Crystalline Graphite,30.78491,-98.35783,United States of America,Texas,C,0.02,,,,
Rabbit Creek Area,Graphite,Crystalline Graphite,42.20817,-105.2317,United States of America,Wyoming,C,0.02,,,,
Taskazgan,Graphite,Crystalline Graphite,40.81455,63.38333,Uzbekistan,,C,0.02,,,,
Lynx Mine,Graphite,Crystalline Graphite,-16.43043,29.30134,Zimbabwe,,C,0.02,,,,
Clayton Valley,Lithium,Li Basin Brines,37.77616498,-117.5681488,United States of America,Nevada,Li,0.002,,,,
Searles Lake,Lithium,Li Basin Brines,35.73621549,-117.3312313,United States of America,California,Li,0.002,,,,
Salton Sea,Lithium,Li Basin Brines,33.36377657,-115.8691608,United States of America,California,Li,0.002,,,,
Zhabuye Lake,Lithium,Li Basin Brines,31.42594176,84.05186252,Tibet,,Li,0.002,,,,
Taijanier Lake,Lithium,Li Basin Brines,37.49795779,93.9395491,China,Qaidam,Li,0.002,,,,
Dead Sea,Lithium,Li Basin Brines,31.41646214,35.42691848,Israel,,Li,0.002,,,,
DXC,Lithium,Li Basin Brines,31.58123258,86.74799774,Tibet,,Li,0.002,,,,
Salar de Uyuni,Lithium,Li Basin Brines,-20.20128,-67.41002824,Bolivia,Altiplano,Li,0.002,,,,
Salar de Atacama,Lithium,Li Basin Brines,-23.48123862,-68.31466994,Chile,Altiplano,Li,0.002,,,,
Salar de Hombre Muerto,Lithium,Li Basin Brines,-25.39060335,-67.10806079,Argentina,Puna,Li,0.002,,,,
Salar del Rincon,Lithium,Li Basin Brines,-24.10371425,-67.10582432,Argentina,,Li,0.002,,,,
Salar de Cuachari and Salar de Olaroz,Lithium,Li Basin Brines,-23.47116962,-66.74182928,Argentina,,Li,0.002,,,,
Salar de Llullaillaco,Lithium,Li Basin Brines,-24.79710002,-68.30127252,Argentina,,Li,0.002,,,,
Salar de Copaisa,Lithium,Li Basin Brines,-19.22171769,-68.09007579,Bolivia,,Li,0.002,,,,
Salar de Pastos Grandes,Lithium,Li Basin Brines,-21.65237617,-67.78119983,Bolivia,,Li,0.002,,,,
Salar de Maricunga,Lithium,Li Basin Brines,-26.93604532,-69.06936404,Chile,,Li,0.002,,,,
Great Salt Lake,Lithium,Li Basin Brines,41.25310526,-112.7050636,United States of America,Utah,Li,0.002,,,,
Salar de Surire,Lithium,Li Basin Brines,-18.83740384,-69.00534518,Chile,,Li,0.002,,,,
Orrvik,Lithium,Pegmatite,64.2,20.76916,Sweden,,Li,0.002,,,,
Haapaluoma,Lithium,Pegmatite,63.50833,22.9825,Finland,,Li,0.002,,,,
Ullava (Länttä),Lithium; Beryllium,Pegmatite,63.42555,23.70611,Finland,,"Be, Li",null,,,,
Seinajoki,Lithium,Pegmatite,62.77944,22.81555,Finland,,Li,0.002,,,,
Little Nahanni,Lithium,Pegmatite,62.2,-128.833,Canada,NWT,Li,0.002,,,,
Borkenas-Orust,Lithium,Pegmatite,58.16944,11.67888,Sweden,,Li,0.002,,,,
Lipovy Log,Lithium,Pegmatite,57.56667,61.31667,Russia,Central Urals,Li,0.002,,,,
Leinster,Lithium,Pegmatite,52.785306,-6.537423,Ireland,,Li,0.002,,,,
Favourable Lake,Lithium,Pegmatite,52.598329,-93.378785,Canada,Ontario,Li,0.002,,,,
Whabouchi,Lithium,Pegmatite,51.683252,-75.84583,Canada,Quebec,Li,0.002,,,,
Orlovka,Lithium,Pegmatite,51.057178,114.834199,Russia,Transbaikalia,Li,0.002,,,,
Root,Lithium,Pegmatite,50.8,-91.7,Canada,Ontario,Li,0.002,,,,
Malkhan,Lithium,Pegmatite,50.6515,109.879833,Russia,Transbaikalia,Li,0.002,,,,
Greer,Lithium,Pegmatite,50.344,-95.317,Canada,Manitoba,Li,0.002,,,,
Big Whopper,Lithium,Pegmatite,50.25,-94.06,Canada,Ontario,Li,0.002,,,,
Gullwing Lake,Lithium,Pegmatite,49.86333,-92.53111,Canada,,Li,0.002,,,,
Mavis,Lithium,Pegmatite,49.821377,-92.656329,Canada,Ontario,Li,0.002,,,,
Oldrich,Lithium,Pegmatite,49.42083,16.00277,Czech Republic,,Li,0.002,,,,
Lacorne,Lithium,Pegmatite,48.41083,-77.80817,Canada,Quebec,Li,0.002,,,,
Altai,Lithium,Pegmatite,47.189923,88.812579,China,NW,Li,0.002,,,,
Koralpe,Lithium,Pegmatite,46.867398,14.931632,Austria,,Li,0.002,,,,
Brissago,Lithium,Pegmatite,46.00417,8.70889,Italy,,Li,0.002,,,,
Chedeville,Lithium,Pegmatite,45.97916,1.38611,France,,Li,0.002,,,,
Animikie,Lithium,Pegmatite,45.85056,-88.35278,United States of America,Wisconsin,Li,0.002,,,,
Brazil Lake,Lithium,Pegmatite,44.00917,-65.99667,Canada,Nova Scotia,Li,0.002,,,,
Palermo,Lithium; Beryllium,Be Type Rare-Metal Pegmatite,43.75138,-71.88959,United States of America,New Hampshire,"Be, Li",null,,,,
Beryl Mountain,Lithium,Pegmatite,43.18107,-72.2942,United States of America,New Hampshire,Li,0.002,,,,
Black Mountain,Lithium,Pegmatite,42.76805,-107.44208,United States of America,Wyoming,Li,0.002,,,,
Elba,Lithium,Pegmatite,42.751201,10.205034,Italy,,Li,0.002,,,,
Clark,Lithium,Pegmatite,42.419505,-72.872585,United States of America,Massachusetts,Li,0.002,,,,
Covas de Barroso,Lithium,Pegmatite,41.6347,-7.783847,Portugal,,Li,0.002,,,,
Anderson,Lithium,Pegmatite,41.592232,-72.591638,United States of America,Connecticut,Li,0.002,,,,
Crystal Mountain,Lithium; Beryllium,Pegmatite,40.54639,-105.37333,United States of America,Colorado,"Be, Li",null,,,,
Quartz Cr,Lithium,Pegmatite,38.54167,-106.62556,United States of America,Colorado,Li,0.002,,,,
Talbuzanak,Lithium,Pegmatite,37.202,70.56,Afghanistan,,Li,0.002,,,,
Eshkashim,Lithium,Pegmatite,36.455,71.606,Afghanistan,,Li,0.002,,,,
Pachighram,Lithium,Pegmatite,35.528,71,Afghanistan,,Li,0.002,,,,
Kantiway,Lithium,Pegmatite,35.436,70.772,Afghanistan,,Li,0.002,,,,
Panjsher,Lithium,Pegmatite,35.333,69.333,Afghanistan,,Li,0.002,,,,
Marid,Lithium,Pegmatite,35.233,71.333,Afghanistan,,Li,0.002,,,,
Kings Mountain,Lithium; Beryllium,Be Type Rare-Metal Pegmatite,35.220183,-81.354317,United States of America,North Carolina,"Be, Li",null,,,,
Nilaw-Kolum,Lithium,Pegmatite,35.208,70.354,Afghanistan,,Li,0.002,,,,
Kurghal,Lithium,Pegmatite,35.068,70.306,Afghanistan,,Li,0.002,,,,
Parun,Lithium,Pegmatite,34.909,70.871,Afghanistan,,Li,0.002,,,,
Alinghar,Lithium,Pegmatite,34.878,70.28,Afghanistan,,Li,0.002,,,,
Darra-i-Pech,Lithium,Pegmatite,34.672,70.782,Afghanistan,,Li,0.002,,,,
Darrahe-Nur,Lithium,Pegmatite,34.617,70.75,Afghanistan,,Li,0.002,,,,
Shahidan,Lithium,Pegmatite,34.525,69.904,Afghanistan,,Li,0.002,,,,
Surkh-Rod,Lithium,Pegmatite,34.435,70.256,Afghanistan,,Li,0.002,,,,
Taghawlor,Lithium,Pegmatite,33.708,66.325,Afghanistan,,Li,0.002,,,,
Guanpo,Lithium,Pegmatite,33.7,110.8,China,,Li,0.002,,,,
San Diego,Lithium,Pegmatite,33.211727,-116.798272,United States of America,California,Li,0.002,,,,
McAllister,Lithium,Pegmatite,32.885179,-86.248043,United States of America,Alabama,Li,0.002,,,,
Nanping,Lithium; Niobium and Tantalum,Li-Cs-Ta type pegmatite,26.67,118.1,China,,"Li, Nb, Ta",null,,,,
Maoantan,Lithium,Pegmatite,26.2,111.8,China,,Li,0.002,,,,
Khnefissat,Lithium,Pegmatite,20.793888,-15.570556,Mauritania,,Li,0.002,,,,
Igbeti,Lithium,Pegmatite,8.31666,3.025,Nigeria,,Li,0.002,,,,
Kokobin,Lithium,Pegmatite,6,-1,Ghana,,Li,0.002,,,,
Bijyojyo,Lithium,Pegmatite,-1.99194,29.61694,Rwanda,,Li,0.002,,,,
Ruhembe,Lithium,Pegmatite,-2.76083,29.30805,Burundi,,Li,0.002,,,,
Kivuvu,Lithium,Pegmatite,-2.834061,29.530003,Burundi,,Li,0.002,,,,
Mamoes,Lithium,Pegmatite,-6.918441,-36.723513,Brazil,Minas Gerais,Li,0.002,,,,
Alto Ligonha,Lithium,Pegmatite,-15.737382,38.253732,Mozambique,,Li,0.002,,,,
Urucum Pegmatite,Lithium,Pegmatite,-19.02305,-41.46,Brazil,,Li,0.002,,,,
Betafo,Lithium,Pegmatite,-19.91667,46.5333,Madagascar,,Li,0.002,,,,
Tabba,Lithium,Pegmatite,-20.6666,118.92306,Australia,,Li,0.002,,,,
Rubicon,Lithium,Pegmatite,-22.10306,15.99389,Namibia,,Li,0.002,,,,
Union,Lithium,Pegmatite,-24.116999,30.894021,South Africa,,Li,0.002,,,,
Niobe,Lithium,Pegmatite,-27.70722,117.26694,Australia,,Li,0.002,,,,
Homestead,Lithium,Pegmatite,-28.769078,18.495696,Namibia,,Li,0.002,,,,
Edon,Lithium,Pegmatite,-29.30722,117.68333,Australia,,Li,0.002,,,,
Marion,Lithium,Pegmatite,-31.07805,121.46666,Australia,,Li,0.002,,,,
Tantalite,Lithium,Pegmatite,-31.09722,121.07528,Australia,,Li,0.002,,,,
Bald,Lithium,Pegmatite,-31.51555,122.17944,Australia,,Li,0.002,,,,
Deans,Lithium,Pegmatite,-32.30694,121.785,Australia,,Li,0.002,,,,
Las Cuevas,Lithium,Pegmatite,-32.38611,-65.70694,Argentina,,Li,0.002,,,,
San Luis,Lithium,Pegmatite,-32.98333,-65.98333,Argentina,,Li,0.002,,,,
Cattlin,Lithium,Pegmatite,-33.56388,120.03972,Australia,,Li,0.002,,,,
Meldon,Lithium; Beryllium,Pegmatite,50.7144627,-4.030153128,England,,"Be, Li",null,,,,
Podlesi,Lithium,Pegmatite,50.421821,12.789615,Czech Republic,,Li,0.002,,,,
Kalahari,Manganese,Marine sedimentary Mn,-27.18333333,22.95,South Africa,,Mn,0.095,,,,
Molango,Manganese,Marine sedimentary Mn,20.83333333,-98.73333333,Mexico,,Mn,0.095,,,,
Bolshe Tokmak,Manganese,Marine sedimentary Mn,47.25,35.7,Ukraine,,Mn,0.095,,,,
Nikopol,Manganese,Marine sedimentary Mn,47.56666667,34.41666667,Ukraine,,Mn,0.095,,,,
Groote Eylandt,Manganese,Marine sedimentary Mn,-14,136.5,Australia,,Mn,0.095,,,,
Urkut,Manganese,Marine sedimentary Mn,47.08333333,17.66666667,Hungary,,Mn,0.095,,,,
Tchiatura,Manganese,Marine sedimentary Mn,42.31666667,43.3,Georgia,,Mn,0.095,,,,
Azul,Manganese,Secondary enrichment,-6.133333333,-50.35,Brazil,,Mn,0.095,,,,
Urucum,Manganese,Marine sedimentary Mn,-19.13333333,-57.55,Brazil,,Mn,0.095,,,,
Madhya Pradesh,Manganese,Marine sedimentary Mn,21.83333333,80.3,India,,Mn,0.095,,,,
Orissa,Manganese,Secondary enrichment,21.63333333,85.66666667,India,Chatrapur,Mn,0.095,,,,
Varna,Manganese,Marine sedimentary Mn,43.21666667,27.91666667,Bulgaria,,Mn,0.095,,,,
Serro do Navio,Manganese,Secondary enrichment,1,-52,Brazil,,Mn,0.095,,,,
Nsuta,Manganese,Secondary enrichment,5.28,-1.95,Ghana,,Mn,0.095,,,,
Tambao,Manganese,Secondary enrichment,14.78333333,-0.066666667,Burkina Fasso,,Mn,0.095,,,,
Karnataka,Manganese,Marine sedimentary Mn,13.93333333,75.51666667,India,,Mn,0.095,,,,
Postmasburg,Manganese,Secondary enrichment,-28.05,23.05,South Africa,,Mn,0.095,,,,
Western Transval,Manganese,Secondary enrichment,-26.25,27.01666667,South Africa,,Mn,0.095,,,,
Goa,Manganese,Secondary enrichment,15.5,73.91666667,India,,Mn,0.095,,,,
Morro da Mina,Manganese,Secondary enrichment,-20.58333333,-43.83333333,Brazil,,Mn,0.095,,,,
Wafangtzu,Manganese,Marine sedimentary Mn,39.58333333,122,China,,Mn,0.095,,,,
Gujarat,Manganese,Marine sedimentary Mn,23,72.5,India,,Mn,0.095,,,,
Andhra Pradesh Vizianagaram-Visakhapatnam Manganese Belt,Manganese,Secondary enrichment,18.36666667,83.45,India,,Mn,0.095,,,,
Imini,Manganese,Marine sedimentary Mn,30.73333333,-6.9,Morocco,,Mn,0.095,,,,
Blue River,Niobium and Tantalum,Carbonatite,52.31666667,-119.1666667,Canada,,"Nb, Ta",null,,,,
Tanco,Niobium and Tantalum; Beryllium; Lithium,Be Type Rare-Metal Pegmatite; Li-Cs-Ta type pegmatite,50.43333333,-95.45,Canada,Manitoba,"Be, Li, Nb, Ta",null,,,,
Niobec,Niobium and Tantalum,Carbonatite,48.53333333,-71.15,Canada,,"Nb, Ta",null,,,,
Crevier,Niobium and Tantalum,Carbonatite,49.5,-72.81666667,Canada,,"Nb, Ta",null,,,,
Oka,Niobium and Tantalum,Carbonatite,45.50416667,-74.02222222,Canada,,"Nb, Ta",null,,,,
Araxá,Niobium and Tantalum; Barite; Rare-Earth Elements,"Carbonatite; Vein, cavity-fill, metasomatic",-19.66666667,-46.95,Brazil,,"Nb, Ta, BaSO4, REE",null,,,,
Volta Grande,Niobium and Tantalum; Beryllium; Lithium,Li-Cs-Ta type pegmatite,-21.08333333,-44.58333333,Brazil,,"Be, Li, Nb, Ta",null,,,,
Pitinga,Niobium and Tantalum,Alkaline granite and syenite,0.783611111,-60.07861111,Brazil,,"Nb, Ta",null,,,,
Morro dos Seis Lagos,Niobium and Tantalum,Carbonatite,0.281944445,-66.68027778,Brazil,,"Nb, Ta",null,,,,
Ilimaussaq complex,Niobium and Tantalum; Rare-Earth Elements; Beryllium,Peralkaline intrusion Be,61.0107706,-45.70582454,Greenland,,"Nb, Ta, Be, REE",null,,,,
Ghurayyah,Niobium and Tantalum,Alkaline granite and syenite,27.91666667,35.8,Saudi Arabia,,"Nb, Ta",null,,,,
El Nuweiba,Niobium and Tantalum,Rare-metal granite,25.20085833,34.49893056,Egypt,,"Nb, Ta",null,,,,
Umm Naggat,Niobium and Tantalum,Rare-metal granite,25.20085833,34.49893056,Egypt,,"Nb, Ta",null,,,,
Bonga,Niobium and Tantalum,Carbonatite,-14.26805556,13.96722222,Angola,,"Nb, Ta",null,,,,
Kenticha,Niobium and Tantalum; Lithium,Li-Cs-Ta type pegmatite,5.516666667,39.03333333,Ethiopia,,"Nb, Ta, Li",null,,,,
Kanyika,Niobium and Tantalum,Alkaline granite and syenite,-12.01055556,33.63333333,Malawi,,"Nb, Ta",null,,,,
Marropino,Niobium and Tantalum,Lithium-Cesium-Tantalum type pegmatite,-16.51111111,37.90277778,Mozambique,,"Nb, Ta",null,,,,
Morrua,Niobium and Tantalum,Lithium-Cesium-Tantalum type pegmatite,-16.26666667,37.86666667,Mozambique,,"Nb, Ta",null,,,,
Muriane,Niobium and Tantalum,Lithium-Cesium-Tantalum type pegmatite,-15.7375,38.25277778,Mozambique,,"Nb, Ta",null,,,,
Tantalite Valley,Niobium and Tantalum,Lithium-Cesium-Tantalum type pegmatite,-28.71666667,18.8,Namibia,,"Nb, Ta",null,,,,
Three Aloes,Niobium and Tantalum,Lithium-Cesium-Tantalum type pegmatite,-21.21861111,14.8675,Namibia,,"Nb, Ta",null,,,,
Palinesberg,Niobium and Tantalum,Alkaline granite and syenite,-24.23333333,27.06666667,South Africa,,"Nb, Ta",null,,,,
Eagle,Niobium and Tantalum,Lithium-Cesium-Tantalum type pegmatite,-18.5,32.43333333,Zimbabwe,,"Nb, Ta",null,,,,
Donsa,Niobium and Tantalum,Lithium-Cesium-Tantalum type pegmatite,-18.5,32.43333333,Zimbabwe,,"Nb, Ta",null,,,,
Tomtor,Niobium and Tantalum,Carbonatite,71.05361111,116.5711111,Russia,,"Nb, Ta",null,,,,
Katuginskoye,Niobium and Tantalum,Alkaline granite and syenite,56.3,119.2,Russia,,"Nb, Ta",null,,,,
Etykinskoye,Niobium and Tantalum,Rare-metal granite,47.56,134.72,Russia,,"Nb, Ta",null,,,,
Vishnyalovskoye,Niobium and Tantalum; Beryllium,Lithium-Cesium-Tantalum type pegmatite,55.22,97.75,Russia,,"Be, Nb, Ta",null,,,,
Voznesenovskoye,Niobium and Tantalum,Rare-metal granite,44.16666667,132.2333333,Russia,,"Nb, Ta",null,,,,
Alakhinskoye,Niobium and Tantalum,Rare-metal granite,49.43916667,86.96083333,Russia,,"Nb, Ta",null,,,,
Halzan-Buregtei,Niobium and Tantalum,Alkaline granite and syenite,48.41666667,91.96666667,Mongolia,,"Nb, Ta",null,,,,
Yichun,Niobium and Tantalum; Lithium,Rare-metal granite; Li-Cs-Ta type pegmatite,27.64947222,114.5177944,China,,"Nb, Ta, Li",null,,,,
801,Niobium and Tantalum,Rare-metal granite,44.61666667,120.9666667,China,,"Nb, Ta",null,,,,
Sokli,Niobium and Tantalum,Carbonatite,67.76666667,29.23333333,Finland,,"Nb, Ta",null,,,,
Beauvoir-Echassieres,Niobium and Tantalum; Beryllium; Lithium,Rare-metal granite; Non-pegmatite; Li-Cs-Ta type pegmatite,46.18333333,2.933333334,France,,"Be, Li, Nb, Ta",null,,,,
Elk Creek,Niobium and Tantalum; Rare-Earth Elements,Carbonatite,40.27027778,-96.19,United States of America,Nebraska,"Nb, Ta, REE",null,,,,
Iron Hill,Niobium and Tantalum; Titanium,Carbonatite; Alkalic/metasomatized,38.23472222,-106.7086111,United States of America,Colorado,"Nb, Ta, Ti",null,,,,
Bald Hill,Niobium and Tantalum,Lithium-Cesium-Tantalum type pegmatite,-31.51555556,122.1794444,Australia,,"Nb, Ta",null,,,,
Mount Deans,Niobium and Tantalum,Lithium-Cesium-Tantalum type pegmatite,-32.30694444,121.785,Australia,,"Nb, Ta",null,,,,
Bayan Obo,Niobium and Tantalum; Rare-Earth Elements,Carbonatite,41.79916667,109.9744444,China,Inner Mongolia,"Nb, Ta, REE",null,,,,
Mutala,Niobium and Tantalum,Lithium-Cesium-Tantalum type pegmatite,-15.01527778,37.91666667,Mozambique,,"Nb, Ta",null,,,,
Wellgreen Intrusion,Platinum-Group Elements,Conduit,61.466,-139.521,Canada,,PGE,null,,,,
Nunatak-Brady Glacier,Platinum-Group Elements,Contact,58.554,-136.925,United States of America,Alaska,PGE,null,,,,
Bird River (Page Zone and Ore Fault Zone),Platinum-Group Elements,Contact,50.482,-95.507,Canada,,PGE,null,,,,
Duluth Complex,Platinum-Group Elements,Contact,47.73,-91.8,United States of America,Minnesota,PGE,null,,,,
Great Lakes Nickel,Platinum-Group Elements,Contact,48.079,-89.625,Canada,,PGE,null,,,,
Lac des Iles,Platinum-Group Elements,Atypical; pipe-like ore bodies,49.167,-89.617,Canada,,PGE,null,,,,
Thunder Bay North Project,Platinum-Group Elements,Contact,48.754,-88.901,Canada,,PGE,null,,,,
Eagle Nickel,Platinum-Group Elements,Conduit,46.748,-87.889,United States of America,Michigan,PGE,null,,,,
Geordie Lake,Platinum-Group Elements,Contact,48.818,-86.485,Canada,,PGE,null,,,,
Marathon,Platinum-Group Elements,Contact,48.793,-86.316,Canada,,PGE,null,,,,
